Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
0.25,1.04,0.6,18.34,23.67,25,8,1.5,32.5,21.5,36.67
0.25,1.06,0.65,11.67,13.84,25,6.33,2.83,28.83,20.5,16.67
0.25,1.08,2.75,16.67,19.17,33.33,9,8,22.83,25,16.67
0.25,1.11,0.74,28.33,24.83,33.33,21.33,2.83,41.67,36.67,35
0.26,1.76,0.67,48.34,13.67,40,18.33,2.5,38.83,45.67,48.33
0.26,2.41,0.14,41.67,22.67,30,14.5,2.5,36.33,40.67,41.67
0.27,0.75,0.37,5,13.83,23.33,5.33,2.17,31.33,15.33,13.33
0.27,0.8,0.75,6.66,14,20,9.67,3.5,32.5,20.67,10
0.27,0.89,1.58,11.66,14,30,12,3.17,39.5,26.67,35
0.27,0.96,1.07,15,13.5,28.34,10.83,3.5,39.08,20.5,10
0.27,1.13,1.5,10,15.67,21.67,7.17,2.83,38.33,18.83,15
0.27,1.15,2.06,11.67,10,20,7.17,0.83,41.34,15.83,28.33
0.27,1.15,2.18,26.67,24.16,29.46,8.83,5.67,34.5,28.33,25
0.27,1.15,3.03,6.66,11.67,25,12.5,1,36.17,19.17,18.33
0.28,0.71,1.51,11.67,15.17,26.66,11.67,5,34.17,21.5,16.67
0.28,0.75,1.23,15,11,21.66,9,6,41.33,15.83,15
0.28,0.79,2.93,13.33,12,21.67,10.17,2.33,38,29.17,16.67
0.28,0.8,2.3,15,11.5,25,10,3.17,38.84,16.5,15
0.28,0.82,0.8,13.33,11.84,21.67,11.33,3.17,38.17,16.17,20
0.28,0.96,1.08,13.33,18.33,26.67,11.67,1.17,33.66,20.83,21.67
0.28,1.09,2.05,5,15,21.67,15.17,3.33,27,17.83,18.33
0.28,1.11,1.83,11.66,17.17,23.33,6.67,2.17,29.83,15,15
0.28,1.24,2.32,33.33,17,33.33,16,4,41.5,30.17,28.33
0.28,2.33,0.58,45,33,35,18.33,2.67,18.33,54.67,50
0.29,2.41,0.7,40,25,30,10.17,2.5,37.34,45.83,40
0.3,0.75,2.24,13.33,11.67,20,12.33,3.17,37.33,19.83,21.67
0.3,0.77,0.67,10,14.83,20,6,3,34.33,19.17,21.67
0.3,0.85,0.93,11.67,14.67,21.67,6.83,2.5,29.83,15.5,21.67
0.3,0.89,0.18,15,19.5,21.67,8.33,2.83,30.67,19.83,31.67
0.3,0.98,2.1,6.66,15.67,21.67,6,2.5,29.33,13,10
0.3,0.99,0.7,21.67,17.34,30,12,2,40,25.67,33.33
